"Customer ID","Server ID","Arrival Time","Service Start Time","Departure Time","Service Duration","Queue Delay Time"
2039,3,1035.55723644,1035.55723644,1035.68401159,0.126775157988,0.00000000000
2037,1,1035.51221171,1035.51221171,1035.82687977,0.314668065620,0.00000000000
2040,3,1035.81471298,1035.81471298,1036.01942719,0.204714206796,0.00000000000
2038,2,1035.54777630,1035.54777630,1036.05791670,0.510140391331,0.00000000000
2041,1,1035.94002084,1035.94002084,1036.09999872,0.159977876938,0.00000000000
2043,2,1036.70971845,1036.70971845,1036.76624536,0.565269104579E-01,0.00000000000
2042,1,1036.15405461,1036.15405461,1037.14815358,0.994098973016,0.00000000000
2044,1,1038.28230917,1038.28230917,1038.39389336,0.111584190396,0.00000000000
2045,1,1038.82024000,1038.82024000,1038.94174315,0.121503149658,0.00000000000
2046,1,1039.33676411,1039.33676411,1039.59338120,0.256617090088,0.00000000000
2047,1,1040.24389560,1040.24389560,1040.26242815,0.185325498646E-01,0.00000000000
2049,2,1041.12251078,1041.12251078,1041.18582202,0.633112340670E-01,0.00000000000
2048,1,1040.60684850,1040.60684850,1041.23138202,0.624533517701,0.00000000000
2050,1,1042.75923520,1042.75923520,1043.09678403,0.337548825852,0.00000000000
2051,2,1042.93452982,1042.93452982,1043.18533576,0.250805937422,0.00000000000
2054,3,1043.70168185,1043.70168185,1043.71478291,0.131010538064E-01,0.00000000000
2052,1,1043.33399802,1043.33399802,1044.22826889,0.894270865432,0.00000000000
2053,2,1043.51777399,1043.51777399,1044.23166292,0.713888922297,0.00000000000
2055,1,1044.37699256,1044.37699256,1044.41738824,0.403956738423E-01,0.00000000000
2057,1,1044.42913662,1044.42913662,1044.45573987,0.266032508425E-01,0.00000000000
2056,2,1044.38194997,1044.38194997,1044.46221395,0.802639765720E-01,0.00000000000
2058,1,1045.03464645,1045.03464645,1045.09559846,0.609520164085E-01,0.00000000000
2059,1,1045.89361653,1045.89361653,1046.40312851,0.509511974382,0.00000000000
2060,2,1045.92817722,1045.92817722,1046.42801653,0.499839316582,0.00000000000
2062,1,1046.68567953,1046.68567953,1047.31280517,0.627125638376,0.00000000000
2063,2,1047.20912429,1047.20912429,1047.63132099,0.422196698232,0.00000000000
2061,3,1046.01412387,1046.01412387,1047.94645057,1.93232669924,0.00000000000
2064,1,1048.80814566,1048.80814566,1049.09186226,0.283716604921,0.00000000000
2065,1,1049.64772497,1049.64772497,1049.69071581,0.429908402350E-01,0.00000000000
2066,1,1051.03654383,1051.03654383,1051.10642353,0.698796977390E-01,0.00000000000
2067,1,1051.49886489,1051.49886489,1051.68104681,0.182181922932,0.00000000000
2069,1,1051.88861841,1051.88861841,1052.16456743,0.275949023604,0.00000000000
2068,2,1051.60493677,1051.60493677,1052.26265529,0.657718527112,0.00000000000
2070,1,1052.36601455,1052.36601455,1052.42617125,0.601566986202E-01,0.00000000000
2071,2,1052.39959915,1052.39959915,1052.51283619,0.113237041817,0.00000000000
2073,2,1052.74550411,1052.74550411,1052.89832660,0.152822485922,0.00000000000
2072,1,1052.70742214,1052.70742214,1052.92649850,0.219076354069,0.00000000000
