"Event Type","Start Time","Server ID","Customer ID","Queue Size","Busy Servers"
"Departure",1539.34747993,1,147,16,0
"Service",1539.34747993,1,148,15,1
"Departure",1543.66338618,1,148,15,0
"Service",1543.66338618,1,149,14,1
"Arrival",1548.27086575,-1,164,14,1
"Arrival",1549.22489861,-1,165,15,1
"Arrival",1552.36347180,-1,166,16,1
"Arrival",1561.29583725,-1,167,17,1
"Departure",1561.98847473,1,149,18,0
"Service",1561.98847473,1,150,17,1
"Arrival",1563.88569098,-1,168,17,1
"Arrival",1564.67009403,-1,169,18,1
"Departure",1567.86368655,1,150,19,0
"Service",1567.86368655,1,151,18,1
"Departure",1574.29741838,1,151,18,0
"Service",1574.29741838,1,152,17,1
"Departure",1578.84420329,1,152,17,0
"Service",1578.84420329,1,153,16,1
"Departure",1580.28292904,1,153,16,0
"Service",1580.28292904,1,154,15,1
"Departure",1585.79381404,1,154,15,0
"Service",1585.79381404,1,155,14,1
"Arrival",1593.27191016,-1,170,14,1
"Departure",1594.18074250,1,155,15,0
"Service",1594.18074250,1,156,14,1
"Arrival",1600.36911262,-1,171,14,1
"Departure",1606.53790844,1,156,15,0
"Service",1606.53790844,1,157,14,1
"Departure",1610.61009079,1,157,14,0
"Service",1610.61009079,1,158,13,1
"Arrival",1612.04933261,-1,172,13,1
"Departure",1618.37835060,1,158,14,0
"Service",1618.37835060,1,159,13,1
"Arrival",1625.85157341,-1,173,13,1
"Departure",1630.60132275,1,159,14,0
"Service",1630.60132275,1,160,13,1
"Arrival",1632.90694402,-1,174,13,1
"Departure",1633.38691194,1,160,14,0
"Service",1633.38691194,1,161,13,1
"Departure",1636.77312366,1,161,13,0
"Service",1636.77312366,1,162,12,1
"Departure",1640.76663459,1,162,12,0
"Service",1640.76663459,1,163,11,1
"Arrival",1642.15343927,-1,175,11,1
"Departure",1646.43370157,1,163,12,0
"Service",1646.43370157,1,164,11,1
"Arrival",1646.68181788,-1,176,11,1
"Arrival",1646.93683041,-1,177,12,1
"Departure",1658.77028926,1,164,13,0
"Service",1658.77028926,1,165,12,1
"Departure",1662.97571703,1,165,12,0
"Service",1662.97571703,1,166,11,1
"Arrival",1667.65766412,-1,178,11,1
"Departure",1667.67348904,1,166,12,0
"Service",1667.67348904,1,167,11,1
"Departure",1668.85471335,1,167,11,0
"Service",1668.85471335,1,168,10,1
"Departure",1673.59702700,1,168,10,0
"Service",1673.59702700,1,169,9,1
"Departure",1677.80473780,1,169,9,0
"Service",1677.80473780,1,170,8,1
"Arrival",1679.55072105,-1,179,8,1
"Departure",1680.42704148,1,170,9,0
"Service",1680.42704148,1,171,8,1
"Arrival",1681.89885398,-1,180,8,1
"Departure",1691.21768179,1,171,9,0
"Service",1691.21768179,1,172,8,1
"Departure",1700.03775234,1,172,8,0
"Service",1700.03775234,1,173,7,1
"Arrival",1702.18515771,-1,181,7,1
"Arrival",1704.15195465,-1,182,8,1
"Departure",1706.18436597,1,173,9,0
"Service",1706.18436597,1,174,8,1
"Arrival",1712.93763731,-1,183,8,1
"Departure",1725.05704338,1,174,9,0
"Service",1725.05704338,1,175,8,1
"Arrival",1731.22791210,-1,184,8,1
"Departure",1737.40280142,1,175,9,0
"Service",1737.40280142,1,176,8,1
"Arrival",1740.51677284,-1,185,8,1
"Departure",1745.58148251,1,176,9,0
"Service",1745.58148251,1,177,8,1
"Departure",1748.38388117,1,177,8,0
"Service",1748.38388117,1,178,7,1
"Arrival",1757.03571499,-1,186,7,1
"Arrival",1758.62101859,-1,187,8,1
"Arrival",1764.24377560,-1,188,9,1
"Arrival",1766.53011092,-1,189,10,1
"Arrival",1769.04635334,-1,190,11,1
"Arrival",1770.22025600,-1,191,12,1
"Departure",1770.49708371,1,178,13,0
"Service",1770.49708371,1,179,12,1
"Arrival",1774.04529183,-1,192,12,1
"Departure",1775.97914443,1,179,13,0
"Service",1775.97914443,1,180,12,1
"Arrival",1777.31597035,-1,193,12,1
"Departure",1777.98219833,1,180,13,0
"Service",1777.98219833,1,181,12,1
"Arrival",1779.82457860,-1,194,12,1
"Arrival",1780.95189093,-1,195,13,1
"Departure",1784.36441338,1,181,14,0
"Service",1784.36441338,1,182,13,1
"Departure",1786.87363350,1,182,13,0
"Service",1786.87363350,1,183,12,1
"Departure",1794.13751008,1,183,12,0
"Service",1794.13751008,1,184,11,1
"Departure",1802.13308234,1,184,11,0
"Service",1802.13308234,1,185,10,1
"Arrival",1808.06770214,-1,196,10,1
"Departure",1811.40466620,1,185,11,0
"Service",1811.40466620,1,186,10,1
"Departure",1825.57529669,1,186,10,0
"Service",1825.57529669,1,187,9,1
"Departure",1829.49636530,1,187,9,0
"Service",1829.49636530,1,188,8,1
"Arrival",1832.79776898,-1,197,8,1
"Departure",1838.84102314,1,188,9,0
"Service",1838.84102314,1,189,8,1
"Arrival",1839.41236407,-1,198,8,1
"Departure",1844.96536684,1,189,9,0
"Service",1844.96536684,1,190,8,1
"Departure",1847.00297302,1,190,8,0
"Service",1847.00297302,1,191,7,1
"Departure",1851.48680808,1,191,7,0
"Service",1851.48680808,1,192,6,1
"Arrival",1856.37883785,-1,199,6,1
"Departure",1868.18007523,1,192,7,0
"Service",1868.18007523,1,193,6,1
"Arrival",1875.63482661,-1,200,6,1
"Departure",1877.19354743,1,193,7,0
"Service",1877.19354743,1,194,6,1
"Arrival",1878.81852020,-1,201,6,1
"Departure",1879.90473879,1,194,7,0
"Service",1879.90473879,1,195,6,1
"Arrival",1880.53998639,-1,202,6,1
"Departure",1883.99641945,1,195,7,0
"Service",1883.99641945,1,196,6,1
"Arrival",1889.32525509,-1,203,6,1
"Arrival",1889.68674371,-1,204,7,1
"Arrival",1895.64781403,-1,205,8,1
"Arrival",1897.32567625,-1,206,9,1
"Departure",1898.20092382,1,196,10,0
"Service",1898.20092382,1,197,9,1
"Arrival",1904.86388088,-1,207,9,1
"Departure",1910.42070506,1,197,10,0
"Service",1910.42070506,1,198,9,1
"Departure",1920.87580388,1,198,9,0
"Service",1920.87580388,1,199,8,1
"Departure",1930.85496320,1,199,8,0
"Service",1930.85496320,1,200,7,1
